framework_id,n_blocks,n_nodes,n_linkers,n_atoms_supercell,graph_diameter,n_influential,delta_alpha,delta_alpha_sd,alpha_min,alpha_max,asymmetry_A,asymmetry_sd,lcd_angstrom,pld_angstrom,mofid,source_url,provenance
hMOF-77,128,64,64,5952,60,596,1.2497,0.0171,1.864,3.1137,-1.3626,0.0256,7.75,6.25,,/mofs/15415.json,"hMOF (hypothetical, not synthesised)"
hMOF-45,256,64,192,3776,58,378,1.2508,0.0123,1.7644,3.0152,-1.4455,0.0231,10.75,9.75,[O-]C(=O)c1ccc(c(c1)C)C(=O)[O-].[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0,/mofs/15383.json,"hMOF (hypothetical, not synthesised)"
hMOF-24,432,108,324,5724,35,573,1.2516,0.0131,2.1209,3.3725,-1.2438,0.009,3.25,2.75,[O-]C(=O)C1=C(Cl)C(=C([C]=C1)C(=O)[O-])Cl.[O-]C(=O)c1cc(Cl)c(c(c1)Cl)C(=O)[O-].ClOC(=O)c1c(Cl)cc(c(c1Cl)Cl)C(=O)[O-].[O-]C(=O)C1=C[C]=C(C(=C1Cl)Cl)C(=O)[O-].[O-]C(=O)c1cc(Cl)c(c(c1)Cl)C(=O)[O-].ClOC(=O)c1c(Cl)cc(c(c1Cl)Cl)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.UNKNOWN.cat0,/mofs/15362.json,"hMOF (hypothetical, not synthesised)"
hMOF-53,256,64,192,5696,60,570,1.2536,0.0156,1.842,3.0956,-1.2822,0.0203,9.25,8.25,CCc1c(ccc(c1CC)C(=O)[O-])C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0,/mofs/15391.json,"hMOF (hypothetical, not synthesised)"
hMOF-47,256,64,192,3968,58,397,1.2611,0.0177,1.7756,3.0367,-1.3968,0.017,10.75,9.25,[O-]C(=O)c1cc(C)c(c(c1)C)C(=O)[O-].[O-]C(=O)c1ccc(c(c1)C)C(=O)[O-].[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0,/mofs/15385.json,"hMOF (hypothetical, not synthesised)"
hMOF-50,256,64,192,4928,58,493,1.2653,0.0132,1.8298,3.0951,-1.2217,0.0159,10.25,9.25,[O-]C(=O)c1cc(C)c(c(c1C)C)C(=O)[O-].[O-]C(=O)c1cc(C)c(cc1C)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0,/mofs/15388.json,"hMOF (hypothetical, not synthesised)"
hMOF-107,256,64,192,6080,62,608,1.2688,0.0144,1.7998,3.0686,-1.2586,0.0137,8.25,6.25,CCOc1c(cc(c(c1OCC)C(=O)[O-])OCC)C(=O)[O-].C[C]Oc1cc(C(=O)[O-])c(c(c1[C][O])OCC)OCC.O.[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0,/mofs/15447.json,"hMOF (hypothetical, not synthesised)"
hMOF-54,256,64,192,5696,60,570,1.2703,0.0107,1.8176,3.0879,-1.334,0.0211,9.25,7.25,CCc1c(ccc(c1CC)C(=O)[O-])C(=O)[O-].CCc1cc(ccc1C(=O)[O-])C(=O)[O-].[O][C]c1cc(CC)c(c(c1CC)CC)C(=O)[O-].[O].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0,/mofs/15392.json,"hMOF (hypothetical, not synthesised)"
hMOF-74,128,64,64,6592,60,660,1.2774,0.0116,1.8938,3.1712,-1.3333,0.0178,6.75,4.75,,/mofs/15413.json,"hMOF (hypothetical, not synthesised)"
hMOF-73,192,64,128,5312,62,532,1.2792,0.0212,1.8153,3.0945,-1.4444,0.0138,8.25,7.25,,/mofs/15410.json,"hMOF (hypothetical, not synthesised)"
